node,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,x_m,y_m,z_m,source_names,source_guids,status
8416,4.697607668895198,2.5865379191997646,407.9934949087468,-5.581231355601647,9.568286709329046,-0.09530861463937593,0.3,0.3,-1.8,C-A1-BASE,3_ROqCQqLQreUOQd9pPVGR,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8419,4.984391453756327,5.874070414170819,766.0974949326668,-11.605516931557823,10.140472340584779,-0.20277078059247788,0.3,4.2,-1.8,C-A2-BASE,2SIYxwIffLthIq6aGjJmvK,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8422,4.261227482319694,-9.422110806869975,582.4482351125373,17.574939949677223,8.519116500699344,0.45050465577777477,0.3,11.7,-1.8,C-A3-BASE,08zJ9b2zvGLea3E44NyIwL,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8425,0.1728956664689307,0.7657864013574326,569.3726438764269,-2.0070294074975665,1.0271170989828304,0.08324433725026534,6.0,0.3,-1.8,C-B1-BASE,2sqw2KVaPTvecgrF2Mv41l,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8428,-2.3690723347309017,-0.6863566286730948,333.259142494682,-3.1399116378927574,-0.5948119105855901,2.558367241520841,6.0,4.2,-1.8,C-B2-BASE,2pdjOuparUcwLWN0OoNb0A,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8431,24.46575067638789,-29.92312406567805,299.99781785476233,8.99962044321925,4.96992135853956,-1.9221340914433107,6.0,11.7,-1.8,C-B3-BASE,1xTJMvALHLbxffI84Ya_Xo,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8434,0.8223987467548265,0.9645386730556725,583.4442103151503,-2.501550173544824,2.0536514561579944,0.03598102190142951,12.0,0.3,-1.8,C-C1-BASE,0mwAo3oQTLGPlsud_l_jGs,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8437,0.15859500338217034,9.151885716457077,325.3152315449381,-4.239518011547415,-0.14385018898865695,-1.0140512911304334,12.0,4.2,-1.8,C-C2-BASE,2_5KNXJhzP$QtgR3Zp66eE,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8440,4.926643740555097,-4.439820441675986,539.5242447441447,7.942314880687444,9.301504039014745,0.253527853448776,12.0,11.7,-1.8,C-C3-BASE,18itBfo3HG5g7l3DTswJ1M,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
8443,-3.9987492323420333,2.950532819651652,409.66686115148775,-6.803442120822334,-6.995327653122345,0.3143595747034479,17.7,0.3,-1.8,C-D1-BASE,3RHLjg7o1NUfpTfV2cWdmn,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
